,Unnamed: 0,subject,sender,body,category,score
81,81,CAN'T BELIEVE YOU CHARGED ME!,angryclient@example.com,THIS IS UNACCEPTABLE! FIX NOW!,Billing , 9
82,82,Monthly Subscription,confuseduser@example.com,Why is my account charged twice?,Billing , 10
83,83,Cancellation Notice,client@example.com,Last straw. Cancel my account.,Billing , 8
84,84,Technical Glitch?,user@example.com,My tasks aren’t saving.,Technical , 9
85,85,Need Assistance ASAP!,user@example.com,The app crashes on login.,Technical , 10
86,86,App Broken?,user@example.com,Tasks don't appear after refresh.,Technical , 9
87,87,Rejected Email,user@example.com,Just a test email.,Spam , 8
88,88,Request for New Feature,user@example.com,Can you fix the export feature?,Technical , 8
89,89,Recurring Issue,user@example.com,Tasks disappear regularly.,Technical , 9
90,90,Lost Invoice,user@example.com,Need past invoices.,Billing , 9
91,91,New Features You Need!,SalesGuru@example.com,Don't miss our latest offers!,Spam , 9
92,92,Migration Help,anotheruser@example.com,Needed more help on migration.,Technical , 8
93,93,FW: Project Update,wrongteam@example.com,Please see attached for review.,Other , 7
94,94,Feature Bug,user@example.com,Export doesn't work properly.,Technical , 9
95,95,New Client Inquiry,client@example.com,Can you send me more info?,Other , 6
96,96,Report Missing Data,user@example.com,Data not showing in report.,Technical , 9
97,97,WE NEED TO TALK!,angrycustomer@example.com,I'm done with your service!,Other , 5
98,98,Urgent Billing Issue,client@example.com,Need refund for last month.,Billing , 10
99,99,Spam or Not?,legituser@example.com,Check this out for you.,Other , 5
